string	surah_frequency
برم	{'43': 43.382633053221284}
رهو	{'44': 109.06760563380283}
غلي	{'44': 109.06760563380283}
حقف	{'46': 59.06788710907704}
حبك	{'51': 102.83930942895086}
هجع	{'51': 102.83930942895086}
صكك	{'51': 102.83930942895086}
سطح	{'88': 405.434554973822}
كهف	{'18': 23.11582089552239}
فجو	{'18': 23.11582089552239}
يقظ	{'18': 23.11582089552239}
سردق	{'18': 23.11582089552239}
بيد	{'18': 23.11582089552239}
غدر	{'18': 23.11582089552239}
وال	{'18': 23.11582089552239}
قضض	{'18': 23.11582089552239}
عيب	{'18': 23.11582089552239}
غصب	{'18': 23.11582089552239}
دفا	{'16': 20.61165823795582}
بغل	{'16': 20.61165823795582}
دسس	{'16': 20.61165823795582}
فرث	{'16': 20.61165823795582}
حفد	{'16': 20.61165823795582}
جوو	{'16': 20.61165823795582}
ظعن	{'16': 20.61165823795582}
صوف	{'16': 20.61165823795582}
وبر	{'16': 20.61165823795582}
وكد	{'16': 20.61165823795582}
غزل	{'16': 20.61165823795582}
نسر	{'71': 180.08837209302325}
جرع	{'14': 46.96058217101274}
رمد	{'14': 46.96058217101274}
فرع	{'14': 46.96058217101274}
جثث	{'14': 46.96058217101274}
قصم	{'21': 31.77595404185474}
دمغ	{'21': 31.77595404185474}
رتق	{'21': 31.77595404185474}
فتق	{'21': 31.77595404185474}
كلا	{'21': 31.77595404185474}
نفح	{'21': 31.77595404185474}
فهم	{'21': 31.77595404185474}
نون	{'21': 31.77595404185474}
حدب	{'21': 31.77595404185474}
لفح	{'23': 36.59640831758034}
كلح	{'23': 36.59640831758034}
رقق	{'52': 113.87941176470588}
الت	{'52': 113.87941176470588}
حسم	{'69': 134.67478260869566}
صرع	{'69': 134.67478260869566}
وهي	{'69': 134.67478260869566}
وتن	{'69': 134.67478260869566}
هلع	{'70': 172.85267857142856}
عزو	{'70': 172.85267857142856}
وفض	{'70': 172.85267857142856}
وهج	{'78': 207.05347593582886}
ثجج	{'78': 207.05347593582886}
دهق	{'78': 207.05347593582886}
نشط	{'79': 185.2583732057416}
نخر	{'79': 185.2583732057416}
سهر	{'79': 185.2583732057416}
سمك	{'79': 185.2583732057416}
غطش	{'79': 185.2583732057416}
دحو	{'79': 185.2583732057416}
طمم	{'79': 185.2583732057416}
كدح	{'84': 318.6748971193416}
وسق	{'84': 318.6748971193416}
عنكب	{'29': 39.32859319451498}
خطط	{'29': 39.32859319451498}
طفف	{'83': 221.25142857142856}
رين	{'83': 221.25142857142856}
رحق	{'83': 221.25142857142856}
سنم	{'83': 221.25142857142856}
غمز	{'83': 221.25142857142856}
مكو	{'8': 30.66851485148515}
صرم	{'68': 119.13538461538461}
حرد	{'68': 119.13538461538461}
معن	{'107': 1489.1923076923078}
دهي	{'54': 107.10650069156294}
حتم	{'19': 38.03438113948919}
زهر	{'20': 27.363250883392226}
دلك	{'17': 24.026683214396524}
هجد	{'17': 24.026683214396524}
ردم	{'18': 23.11582089552239}
جفو	{'32': 103.94362416107381}
مسو	{'30': 47.33374083129584}
ربح	{'2': 6.287593374472231}
سفك	{'2': 6.287593374472231}
بقل	{'2': 6.287593374472231}
قثا	{'2': 6.287593374472231}
فوم	{'2': 6.287593374472231}
عدس	{'2': 6.287593374472231}
بصل	{'2': 6.287593374472231}
فقع	{'2': 6.287593374472231}
وشي	{'2': 6.287593374472231}
شطر	{'2': 6.287593374472231}
نعق	{'2': 6.287593374472231}
رفث	{'2': 6.287593374472231}
زود	{'2': 6.287593374472231}
وسن	{'2': 6.287593374472231}
اود	{'2': 6.287593374472231}
فصم	{'2': 6.287593374472231}
سنه	{'2': 6.287593374472231}
صلد	{'2': 6.287593374472231}
طلل	{'2': 6.287593374472231}
غمض	{'2': 6.287593374472231}
لحف	{'2': 6.287593374472231}
خبط	{'2': 6.287593374472231}
شوك	{'8': 30.66851485148515}
زحف	{'8': 30.66851485148515}
حوز	{'8': 30.66851485148515}
شرد	{'8': 30.66851485148515}
رمز	{'3': 10.937570621468927}
ذخر	{'3': 10.937570621468927}
بهل	{'3': 10.937570621468927}
دنر	{'3': 10.937570621468927}
قرح	{'3': 10.937570621468927}
محص	{'3': 10.937570621468927}
غزو	{'3': 10.937570621468927}
فظظ	{'3': 10.937570621468927}
جوف	{'33': 29.85273708558211}
عوق	{'33': 29.85273708558211}
سلق	{'33': 29.85273708558211}
نحب	{'33': 29.85273708558211}
صيص	{'33': 29.85273708558211}
وطر	{'33': 29.85273708558211}
حوب	{'4': 10.540084388185655}
عول	{'4': 10.540084388185655}
بدر	{'4': 10.540084388185655}
فضو	{'4': 10.540084388185655}
ميل	{'4': 10.540084388185655}
جبت	{'4': 10.540084388185655}
نضج	{'4': 10.540084388185655}
ثبي	{'4': 10.540084388185655}
بطا	{'4': 10.540084388185655}
ذيع	{'4': 10.540084388185655}
نبط	{'4': 10.540084388185655}
ركس	{'4': 10.540084388185655}
رغم	{'4': 10.540084388185655}
سلح	{'4': 10.540084388185655}
بتك	{'4': 10.540084388185655}
ذبذب	{'4': 10.540084388185655}
نكف	{'4': 10.540084388185655}
تعس	{'47': 70.46223839854413}
اسن	{'47': 70.46223839854413}
عسل	{'47': 70.46223839854413}
معي	{'47': 70.46223839854413}
شرط	{'47': 70.46223839854413}
قفل	{'47': 70.46223839854413}
ضغن	{'47': 70.46223839854413}
لحن	{'47': 70.46223839854413}
صنو	{'13': 45.52498530276308}
محل	{'13': 45.52498530276308}
زبد	{'13': 45.52498530276308}
جفا	{'13': 45.52498530276308}
انم	{'55': 95.0159509202454}
فني	{'55': 95.0159509202454}
جلل	{'55': 95.0159509202454}
نفذ	{'55': 95.0159509202454}
شوظ	{'55': 95.0159509202454}
فنن	{'55': 95.0159509202454}
طمث	{'55': 95.0159509202454}
دهم	{'55': 95.0159509202454}
نضخ	{'55': 95.0159509202454}
خيم	{'55': 95.0159509202454}
رفرف	{'55': 95.0159509202454}
عبقر	{'55': 95.0159509202454}
مشج	{'76': 148.91923076923078}
قمطر	{'76': 148.91923076923078}
زمهر	{'76': 148.91923076923078}
ايم	{'24': 29.658368441210264}
