position	link_query
11:1:5	ثُمّ
11:2:1	أَلَآ
11:3:4	ثُمّ
11:9:6	ثُمّ
11:27:24	عَلِيّ
11:29:4	عَلِيّ
11:38:5	عَلِيّ
11:39:8	عَلِيّ
11:40:1	حَتَّىٰ
11:40:6	نُور
11:40:18	عَلِيّ
11:44:13	جَوّ
11:48:7	عَلِيّ
11:48:14	ثُمّ
11:51:4	عَلِيّ
11:52:4	ثُمّ
11:55:5	ثُمّ
11:61:21	ثُمّ
11:82:8	عَلِيّ
11:88:32	عَلِيّ
11:90:3	ثُمّ
11:91:17	عَلِيّ
11:100:6	عَلِيّ
11:101:17	لَمَّا
11:111:3	لَمَّا
11:113:15	ثُمّ
11:119:11	جَهَنَّم
11:120:3	عَلِيّ
11:123:11	عَلِيّ
12:6:10	عَلِيّ
12:25:9	لُّدّ
12:31:16	عَلِيّ
12:35:1	ثُمّ
12:35:10	حَتَّىٰ
12:38:19	عَلِيّ
12:40:21	أَلَآ
12:40:24	إِيَّا
12:43:16	أَيُّهَا
12:46:2	أَيُّهَا
12:46:21	لَعَلّ
12:48:1	ثُمّ
12:49:1	ثُمّ
12:51:14	عَلِيّ
12:51:20	ـَٰٔن
12:58:5	عَلِيّ
12:62:7	لَعَلّ
12:62:13	لَعَلّ
12:64:4	عَلِيّ
12:66:5	حَتَّىٰ
12:67:23	عَلِيّ
12:67:25	عَلِيّ
12:70:9	ثُمّ
12:70:12	أَيَّتُهَا
12:71:3	عَلِيّ
12:76:6	ثُمّ
12:78:2	أَيُّهَا
12:80:27	حَتَّىٰ
12:85:6	حَتَّىٰ
12:88:3	عَلِيّ
12:88:5	أَيُّهَا
12:88:17	عَلِيّ
12:90:13	عَلِيّ
12:91:6	عَلِيّ
12:104:3	عَلِيّ
12:105:8	عَلِيّ
12:110:1	حَتَّىٰ
15:6:2	أَيُّهَا
15:6:5	عَلِيّ
15:14:3	عَلِيّ
15:32:5	أَلَآ
15:35:2	عَلِيّ
15:42:5	عَلِيّ
15:43:2	جَهَنَّم
15:52:3	عَلِيّ
15:57:4	أَيُّهَا
15:74:5	عَلِيّ
15:88:12	عَلِيّ
15:99:3	حَتَّىٰ
6:1:10	ثُمّ
6:2:6	ثُمّ
6:2:12	ثُمّ
6:6:18	عَلِيّ
6:7:3	عَلِيّ
6:8:4	عَلِيّ
6:8:11	ثُمّ
6:9:7	عَلِيّ
6:11:5	ثُمّ
6:19:2	أَىّ
6:22:4	ثُمّ
6:25:21	حَتَّىٰ
6:31:7	حَتَّىٰ
6:34:11	حَتَّىٰ
6:35:4	عَلِيّ
6:36:8	ثُمّ
